file,year,survey_type,agency_scope,question_id,main_question,question_texts,survey_variable_names,data_file_variable_names,variable_formats,values,value_labels,domain,weight_priority,matched_keywords
2004_AM_data.xlsx,2004,AM,,2,Number of signalized intersections operated by your agency under closed loop or central system control,Number of signalized intersections operated by your agency under closed loop or central system control,SignalsClosedLoop2004,04_AM_Q02_1R01C01,Numeric,,,Signal Management and Intersection Control,High,closed loop; central system control
2004_AM_data.xlsx,2004,AM,,3,Number of signalized intersections operated by your agency that allow signal preemption for emergency vehicles,Number of signalized intersections operated by your agency that allow signal preemption for emergency vehicles,SignalsPreemption2004,04_AM_Q03_1R01C01,Numeric,,,Signal Management and Intersection Control,High,preemption
2004_AM_data.xlsx,2004,AM,,3,Number of signalized intersections operated by your agency that allow signal preemption for emergency vehicles,Number of signalized intersections operated by your agency that allow signal preemption for emergency vehicles,SignalsPreemption2004,04_AM_Q03_1R01C01,Numeric,,,Safety Enforcement and Incident Response,High,emergency vehicles
2004_AM_data.xlsx,2004,AM,,4,Number of signalized intersections operated by your agency that allow signal priority for transit vehicles,Number of signalized intersections operated by your agency that allow signal priority for transit vehicles,SignalsPriority2004,04_AM_Q04_1R01C01,Numeric,,,Signal Management and Intersection Control,High,signal priority
2004_AM_data.xlsx,2004,AM,,5,Number of signalized intersections operated by your agency within 200 feet of a highway-rail intersection that adjust signal timing in response to train crossing to avoid vehicle entrapment,Number of signalized intersections operated by your agency within 200 feet of a highway-rail intersection that adjust signal timing in response to train crossing to avoid vehicle entrapment,Signals200FeetAdjust2004,04_AM_Q05_1R01C01,Numeric,,,Signal Management and Intersection Control,High,signal timing
2004_AM_data.xlsx,2004,AM,,6,Total number or signalized intersections with automated photo red light running enforcement,Total number or signalized intersections with automated photo red light running enforcement,SignalsPhotoRedLight2004,04_AM_Q06_1R01C01,Numeric,,,Safety Enforcement and Incident Response,High,photo red light; red light
2004_AM_data.xlsx,2004,AM,,8,Total number of signalized intersections under real-time traffic adaptive control using SCOOT/SCATS or other similar advanced software,Total number of signalized intersections under real-time traffic adaptive control using SCOOT/SCATS or other similar advanced software,SignalsTrafficResponsive2004,04_AM_Q08_1R01C01,Numeric,,,Signal Management and Intersection Control,High,adaptive control; scoot; scats
2004_AM_data.xlsx,2004,AM,,9,Total number of signalized intersections that are fully or semi actuated,Total number of signalized intersections that are fully or semi actuated,SignalsFullySemiActuated2004,04_AM_Q09_1R01C01,Numeric,,,Signal Management and Intersection Control,High,fully or semi actuated; semi actuated
2004_AM_data.xlsx,2004,AM,,10,"Total number of signalized intersections with ""Dilemma Zone"" protection","Total number of signalized intersections with ""Dilemma Zone"" protection",SignalsDilemmaZone2004,04_AM_Q10_1R01C01,Numeric,,,Signal Management and Intersection Control,High,dilemma zone
2004_AM_data.xlsx,2004,AM,,11,Total number of signalized intersections with electronic data collection capabilities,"Total number of signalized intersections with electronic data collection capabilities || Please indicate the number of signalized intersections that have the following data collection technologies: || Loop detectors (for volumes, speed, and density). || Video detection cameras (for volume, speed, and density) || Radar || Other",SignalsCoveredSurv2004 || SignalsSurv2004_Loop || SignalsSurv2004_Video || SignalsSurv2004_Radar || SignalsSurv2004_Other || SignalsSurv_Other,04_AM_Q11_1R01C01 || 04_AM_Q11_2R01C01 || 04_AM_Q11_2R02C01 || 04_AM_Q11_2R03C01 || 04_AM_Q11_2R04C01 || 04_AM_Q11_2R05C01TXT,Numeric || Text,,,Traffic Monitoring and Data Collection,High,data collection; radar
